date,forecast_price
2025-09-19 15:48:05,43565.881633959194
2025-09-20 15:48:05,43773.58681922973
2025-09-21 15:48:05,43711.42237518021
2025-09-22 15:48:05,43916.10016734455
2025-09-23 15:48:05,43957.44199018851
2025-09-24 15:48:05,43944.40074352348
2025-09-25 15:48:05,43638.73380936921
2025-09-26 15:48:05,43876.16791838552
2025-09-27 15:48:05,43477.90035413723
2025-09-28 15:48:05,43664.287640151015
2025-09-29 15:48:05,43643.6875176472
2025-09-30 15:48:05,43690.911718774456
2025-10-01 15:48:05,43668.54227947203
2025-10-02 15:48:05,43739.23832404795
2025-10-03 15:48:05,43722.70221369615
2025-10-04 15:48:05,43901.028509654825
2025-10-05 15:48:05,43899.37607772481
2025-10-06 15:48:05,43939.22109737339
2025-10-07 15:48:05,43659.2322705005
2025-10-08 15:48:05,43820.78716264505
2025-10-09 15:48:05,43517.72954209461
2025-10-10 15:48:05,43640.821617581394
2025-10-11 15:48:05,43663.03160473143
2025-10-12 15:48:05,43660.13541577091
2025-10-13 15:48:05,43655.81612190429
2025-10-14 15:48:05,43743.17067642074
2025-10-15 15:48:05,43721.52821680431
2025-10-16 15:48:05,43902.78179466624
2025-10-17 15:48:05,43906.1708937252
2025-10-18 15:48:05,43939.94948752296
